Address,City,State,Median Household Income,Address_Clean
"200 BLOCK OF CO RD 5, Worthington, MN",Worthington,MN,"$58,690","200 block of co rd 5, worthington, mn"
"300 BLOCK OF EAST 2ND STREET, Maryville, MO",Maryville,MO,"$49,144","300 block of east 2nd street, maryville, mo"
"100 BLOCK OF NORTH VINE, Maryville, MO",Maryville,MO,"$49,144","100 block of north vine, maryville, mo"
"1700 BLOCK OF EAST 1ST STREET, Maryville, MO",Maryville,MO,"$49,144","1700 block of east 1st street, maryville, mo"
"400 BLOCK OF NORTH MARKET, Maryville, MO",Maryville,MO,"$49,144","400 block of north market, maryville, mo"
"100 BLOCK OF SOUTH LAURA, Maryville, MO",Maryville,MO,"$49,144","100 block of south laura, maryville, mo"
"600 BLOCK OF EAST 7TH STREET, Maryville, MO",Maryville,MO,"$49,144","600 block of east 7th street, maryville, mo"
"1100 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144","1100 block of south main, maryville, mo"
"700 BLOCK OF EAST 7TH STREET, Maryville, MO",Maryville,MO,"$49,144","700 block of east 7th street, maryville, mo"
"200 BLOCK OF EAST 12TH STREET, Maryville, MO",Maryville,MO,"$49,144","200 block of east 12th street, maryville, mo"
"1600 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
"700 BLOCK OF NORTH MAIN, Maryville, MO",Maryville,MO,"$49,144","700 block of north main, maryville, mo"
"400 BLOCK OF NORTH VINE, Maryville, MO",Maryville,MO,"$49,144","400 block of north vine, maryville, mo"
"300 BLOCK OF NORTH MAIN, Maryville, MO",Maryville,MO,"$49,144","300 block of north main, maryville, mo"
"400 BLOCK OF WEST 4TH STREET, Maryville, MO",Maryville,MO,"$49,144","400 block of west 4th street, maryville, mo"
"300 BLOCK OF WEST 1ST STREET, Maryville, MO",Maryville,MO,"$49,144","300 block of west 1st street, maryville, mo"
"100 BLOCK OF SOUTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144","100 block of south buchanan, maryville, mo"
"1100 BLOCK OF NORTH COLLEGE DRIVE, Maryville, MO",Maryville,MO,"$49,144","1100 block of north college drive, maryville, mo"
"800 BLOCK OF WEST SOUTH AVENUE, Maryville, MO",Maryville,MO,"$49,144","800 block of west south avenue, maryville, mo"
"300 BLOCK OF SOUTH VINE, Maryville, MO",Maryville,MO,"$49,144","300 block of south vine, maryville, mo"
"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",Maryville,MO,"$49,144","200 block of volunteer avenue, maryville, mo"
"500 BLOCK OF WEST 3RD STREET, Maryville, MO",Maryville,MO,"$49,144","500 block of west 3rd street, maryville, mo"
"1600 BLOCK OF SOUT MAIN, Maryville, MO",Maryville,MO,"$49,144","1600 block of sout main, maryville, mo"
"500 BLOCK OF SOUTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144","500 block of south buchanan, maryville, mo"
"200 BLOCK OF WEST 12TH STREET, Maryville, MO",Maryville,MO,"$49,144","200 block of west 12th street, maryville, mo"
"1100 BLOCK OF EAST THOMPSON, Maryville, MO",Maryville,MO,"$49,144","1100 block of east thompson, maryville, mo"
"200 BLOCK OF NORTH RAY, Maryville, MO",Maryville,MO,"$49,144","200 block of north ray, maryville, mo"
