Type,Date,Description,Address,Latitude,Longitude,City,State,Median Household Income,Address_Clean
Vandalism,06/22/2024 12:10 AM,Property Damage ,"200 BLOCK OF CO RD 5, Worthington, MN",43.3971588,-94.81718028378953,Worthington,MN,"$58,690","200 block of co rd 5, worthington, mn"
Theft,10/01/2024 11:20 AM,LARCENY FROM A M.V. - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF EAST 2ND STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","300 block of east 2nd street, maryville, mo"
Other,09/30/2024 3:04 PM,MISSING PERSON - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of north vine, maryville, mo"
Other,09/29/2024 2:32 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1700 BLOCK OF EAST 1ST STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1700 block of east 1st street, maryville, mo"
Vandalism,09/29/2024 12:50 PM,PROPERTY DAMAGE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF NORTH MARKET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","400 block of north market, maryville, mo"
Arrest,09/29/2024 3:25 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF SOUTH LAURA, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of south laura, maryville, mo"
Other,09/27/2024 9:38 PM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF EAST 7TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","600 block of east 7th street, maryville, mo"
Arrest,09/25/2024 10:12 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1100 block of south main, maryville, mo"
Burglary,09/24/2024 4:22 PM,BURGLARY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"700 BLOCK OF EAST 7TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","700 block of east 7th street, maryville, mo"
Other,09/24/2024 11:39 AM,TRESPASSING - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF EAST 12TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of east 12th street, maryville, mo"
